Municipio de residencia;Seccion de residencia;0 - Ocupaciones militares;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
29067 Málaga;Sección 2906708017;*;*;*;*;*;115;*;*;*;*
29067 Málaga;Sección 2906708018;*;*;245;115;140;160;*;*;80;80
29067 Málaga;Sección 2906708019;*;*;*;*;*;50;*;65;*;*
29067 Málaga;Sección 2906708020;*;*;*;*;150;*;*;*;*;*
29067 Málaga;Sección 2906708021;*;*;*;70;80;120;*;*;*;55
29067 Málaga;Sección 2906708022;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708023;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708024;*;*;*;*;*;105;*;*;*;100
29067 Málaga;Sección 2906708025;*;*;*;*;85;215;*;*;*;*
29067 Málaga;Sección 2906708026;*;*;*;*;130;185;*;*;*;95
29067 Málaga;Sección 2906708027;*;*;*;*;*;135;*;*;*;*
29067 Málaga;Sección 2906708028;*;*;*;60;*;75;*;80;75;70
29067 Málaga;Sección 2906708029;*;*;170;150;75;105;*;*;*;130
29067 Málaga;Sección 2906708030;*;*;200;85;115;70;*;*;*;*
29067 Málaga;Sección 2906708031;*;*;90;*;190;110;*;*;*;160
29067 Málaga;Sección 2906708032;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708033;*;90;305;95;255;170;*;95;*;105
29067 Málaga;Sección 2906708034;*;*;195;*;110;140;*;*;*;*
29067 Málaga;Sección 2906708035;*;*;90;105;250;170;*;120;90;165
29067 Málaga;Sección 2906708036;*;*;*;*;70;135;*;65;*;80
29067 Málaga;Sección 2906708037;*;*;185;*;65;*;*;*;*;95
29067 Málaga;Sección 2906708039;*;*;*;*;50;245;*;*;*;145
29067 Málaga;Sección 2906708040;*;*;100;75;80;205;*;90;*;165
29067 Málaga;Sección 2906708041;*;*;*;*;105;130;*;*;*;*
29067 Málaga;Sección 2906708042;*;*;280;125;220;195;*;*;55;65
29067 Málaga;Sección 2906708043;*;80;370;255;190;165;*;65;170;*
29067 Málaga;Sección 2906708044;*;85;175;200;160;165;*;75;*;*
29067 Málaga;Sección 2906708045;*;*;*;85;*;70;*;*;*;*
29067 Málaga;Sección 2906708046;*;*;*;*;*;*;*;*;60;*
29067 Málaga;Sección 2906708047;*;*;*;75;*;105;*;*;*;*
29067 Málaga;Sección 2906708048;*;*;75;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708049;*;*;*;*;85;105;*;*;*;145
29067 Málaga;Sección 2906708050;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708051;*;*;*;70;*;*;*;*;*;*
