Municipio de residencia;Sección ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
29067 Málaga;Sección 2906708031;654;0;6;39;213;48;102;0;78;93;45;27;12
29067 Málaga;Sección 2906708033;1056;0;6;15;108;102;66;0;114;213;255;123;60
29067 Málaga;Sección 2906708035;1053;0;6;30;297;132;138;0;177;144;87;33;6
29067 Málaga;Sección 2906708036;540;0;9;33;282;42;72;0;51;30;12;9;0
29067 Málaga;Sección 2906708039;732;0;3;24;276;72;99;3;96;75;54;27;3
29067 Málaga;Sección 2906708040;1023;0;3;36;354;102;144;6;144;114;84;30;3
29067 Málaga;Sección 2906708041;582;0;3;27;195;69;78;3;90;57;39;18;6
29067 Málaga;Sección 2906708042;909;0;3;21;195;105;87;6;129;162;135;54;9
29067 Málaga;Sección 2906708043;1206;0;3;21;144;126;84;3;156;279;240;102;48
29067 Málaga;Sección 2906708044;1119;0;3;33;231;114;123;3;159;213;147;78;18
29067 Málaga;Sección 2906708052;534;0;3;12;108;75;66;0;57;99;69;33;12
29067 Málaga;Sección 2906708054;954;3;3;24;330;96;108;0;141;120;81;33;12
29067 Málaga;Sección 2906708055;654;0;6;21;207;81;99;0;93;69;51;21;9
29067 Málaga;Sección 2906708056;732;0;0;6;135;93;81;3;111;123;102;51;24
29067 Málaga;Sección 2906708057;1221;0;3;9;165;126;99;6;174;246;264;90;39
29067 Málaga;Sección 2906708058;972;0;0;12;81;105;51;0;81;204;294;96;48
29067 Málaga;Sección 2906708059;993;0;0;27;135;90;84;6;135;198;234;57;27
29067 Málaga;Sección 2906708061;1185;0;3;12;204;117;105;3;174;219;222;78;48
29067 Málaga;Sección 2906708063;1272;0;3;12;144;126;84;3;141;276;294;123;69
29067 Málaga;Sección 2906708064;600;0;3;21;159;66;81;3;102;81;54;21;9
29067 Málaga;Sección 2906708065;714;0;0;6;75;45;54;0;99;180;168;57;33
29067 Málaga;Sección 2906708066;1092;0;3;24;318;117;144;0;174;147;126;36;9
29067 Málaga;Sección 2906708067;573;0;6;9;144;60;54;3;72;96;90;30;12
29067 Málaga;Sección 2906708068;807;0;0;6;87;63;51;3;120;153;201;87;42
29067 Málaga;Sección 2906708069;780;0;3;12;120;93;72;3;120;147;135;42;39
29067 Málaga;Sección 2906708070;816;0;3;9;138;81;87;3;105;165;135;75;18
29067 Málaga;Sección 2906708072;696;0;6;12;231;72;90;3;108;75;69;18;6
29067 Málaga;Sección 2906709003;651;0;9;21;57;51;30;0;45;126;195;75;42
29067 Málaga;Sección 2906709006;615;0;12;30;57;69;30;0;60;102;165;57;30
29067 Málaga;Sección 2906709007;972;0;6;30;87;87;45;0;78;207;264;108;57
29067 Málaga;Sección 2906709011;666;0;9;42;201;69;90;0;84;87;54;30;6
