Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
29067 Málaga;Sección 2906702024;510;6;30;54;60;69;66;60;72;51;36;3;0;0;0;0;0
29067 Málaga;Sección 2906702026;768;3;36;63;63;87;105;138;117;108;45;9;0;0;0;0;0
29067 Málaga;Sección 2906702027;909;0;33;60;93;111;132;150;126;108;60;21;9;3;0;3;0
29067 Málaga;Sección 2906702028;507;0;9;33;54;78;81;78;66;51;45;6;3;0;0;3;0
29067 Málaga;Sección 2906702030;843;3;27;60;84;114;159;141;129;81;39;6;3;3;0;0;0
29067 Málaga;Sección 2906702041;849;0;27;60;75;96;102;147;132;102;84;21;3;3;0;0;0
29067 Málaga;Sección 2906702044;804;0;27;51;57;69;90;99;153;156;87;12;6;0;0;0;0
29067 Málaga;Sección 2906702047;618;3;15;51;33;48;72;99;93;114;78;15;3;0;0;0;0
29067 Málaga;Sección 2906702048;771;0;21;66;75;81;96;75;96;123;105;30;3;3;0;0;0
29067 Málaga;Sección 2906702049;852;3;24;60;45;57;84;117;189;183;72;15;3;0;0;0;0
29067 Málaga;Sección 2906702050;1140;0;42;120;66;87;102;162;183;216;126;21;6;0;3;0;0
29067 Málaga;Sección 2906703003;531;0;12;54;75;96;72;66;66;51;30;9;0;0;0;0;0
29067 Málaga;Sección 2906704001;579;3;12;48;84;69;81;93;84;63;33;9;3;3;0;0;0
29067 Málaga;Sección 2906704003;558;3;27;63;57;63;81;108;75;51;21;6;0;0;0;0;0
29067 Málaga;Sección 2906704004;525;3;15;45;57;75;72;81;75;63;33;6;0;0;0;0;0
29067 Málaga;Sección 2906704007;504;3;18;48;57;72;60;60;75;66;33;6;0;0;0;0;0
29067 Málaga;Sección 2906704009;582;3;12;33;57;81;81;105;87;69;45;9;3;3;0;0;0
29067 Málaga;Sección 2906705002;690;6;24;57;78;99;105;108;90;78;42;6;0;0;0;0;0
29067 Málaga;Sección 2906706002;717;6;42;54;63;63;99;135;117;99;36;3;0;0;0;0;0
29067 Málaga;Sección 2906706007;570;6;33;51;75;72;93;75;72;54;36;0;0;0;0;3;0
29067 Málaga;Sección 2906706012;567;0;27;57;48;81;90;75;69;69;39;6;3;0;0;0;0
29067 Málaga;Sección 2906706013;732;6;21;69;108;105;117;96;99;75;36;3;3;0;0;0;0
29067 Málaga;Sección 2906706019;537;0;33;57;57;72;81;90;54;57;33;3;0;0;0;0;0
29067 Málaga;Sección 2906706025;609;0;30;60;75;84;96;84;66;60;48;6;0;0;0;0;0
29067 Málaga;Sección 2906706028;888;6;39;69;84;87;138;168;165;84;45;6;0;0;0;0;0
29067 Málaga;Sección 2906706031;513;3;15;42;72;57;75;66;72;57;48;6;0;0;0;0;0
29067 Málaga;Sección 2906706039;660;0;30;66;72;72;69;75;96;102;63;9;0;0;0;0;0
29067 Málaga;Sección 2906706048;906;3;21;36;51;153;264;177;108;66;15;3;3;0;0;0;0
29067 Málaga;Sección 2906707005;657;0;18;30;72;66;90;153;117;57;42;9;0;0;0;0;0
29067 Málaga;Sección 2906707011;561;0;15;69;63;81;84;69;69;66;36;3;0;0;0;0;0
29067 Málaga;Sección 2906707023;795;6;24;54;90;108;204;171;72;42;18;0;0;0;0;0;0
29067 Málaga;Sección 2906707027;660;0;21;60;63;60;87;87;105;84;72;18;6;3;0;0;0
29067 Málaga;Sección 2906707030;522;3;27;36;33;24;57;114;123;69;39;0;0;0;0;0;0
29067 Málaga;Sección 2906707034;714;3;15;69;90;114;123;102;81;72;42;3;3;0;0;0;0
