Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906707057;*;*;*;110;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707058;*;*;*;*;65;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707059;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707060;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707061;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707062;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707064;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707065;*;*;*;155;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707066;*;*;*;115;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707067;*;*;130;105;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707068;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707069;*;*;*;*;*;*;*;90;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707070;*;*;*;*;*;*;65;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707071;*;*;*;*;*;110;110;110;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707072;*;*;60;120;*;85;215;140;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707073;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707074;*;*;*;*;100;*;*;80;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707075;*;*;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707076;*;*;*;*;70;95;70;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707077;*;*;55;140;*;70;70;190;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707078;*;*;*;65;100;*;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707079;*;*;*;95;*;*;*;55;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707080;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707081;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707082;*;*;*;*;245;195;170;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707083;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707084;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707085;*;*;*;*;*;*;*;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707086;*;*;*;*;90;*;110;65;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707087;*;*;60;*;*;*;*;125;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707088;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707089;*;*;75;*;80;110;*;*;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707090;*;*;85;120;115;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707091;*;*;125;200;115;125;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707092;*;*;160;355;465;255;110;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707093;*;*;*;60;*;*;*;85;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707094;*;*;*;*;*;110;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708001;*;*;*;85;80;155;*;*;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708002;*;*;*;110;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708003;*;*;*;*;55;105;75;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708004;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708005;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708006;*;*;*;145;175;75;50;95;75;50;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708007;*;*;*;*;85;220;170;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708008;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708009;*;*;*;*;80;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708010;*;*;85;120;175;100;85;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708011;*;*;70;100;100;*;70;100;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708012;*;*;*;125;80;120;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708013;*;*;*;65;75;*;65;155;135;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708014;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708015;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708016;*;*;*;*;*;95;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708017;*;*;*;*;*;*;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708018;*;*;*;180;235;120;180;90;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708019;*;*;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708020;*;*;*;*;*;*;85;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708021;*;*;55;80;*;*;60;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708022;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708023;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708024;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708025;*;*;60;*;*;75;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708026;*;*;*;75;*;135;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708027;*;*;*;*;*;*;*;90;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708028;*;*;*;100;75;85;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708029;*;*;*;190;130;155;100;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708030;*;*;60;*;*;*;150;80;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708031;*;*;120;140;125;60;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708032;*;*;*;*;*;170;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708033;*;75;160;180;170;270;160;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708034;*;*;*;*;125;140;*;*;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708035;*;*;*;85;240;335;165;115;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708036;*;*;55;70;145;*;*;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708037;*;*;*;170;70;*;*;*;*;65;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708039;*;*;*;*;*;*;145;200;*;*;*;*;*;*;*;*;*
